spectrum_SAR5_ADC_testbench_non_ideal_SIN_FFT.vout X,spectrum_SAR5_ADC_testbench_non_ideal_SIN_FFT.vout Y
5414457.158805439,-78.82865748806445
5428411.945297206,-84.84925740134361
5442366.731788972,-357.1294967095137
5456321.518280739,-83.23071105720985
5470276.304772506,-77.2101111439306
5484231.091264272,-83.23071105720977
5498185.877756039,-361.4574960383934
5512140.664247805,-96.86969842659283
5526095.450739572,-90.84909851331429
5540050.237231338,-96.86969842659202
5554005.023723105,-358.6984985435287
5567959.810214872,-73.65556168521044
5581914.596706638,-67.63496177193102
5595869.383198405,-73.65556168521046
5609824.169690171,-357.3267115782099
5623778.956181938,-110.3991328579263
5637733.742673704,-104.3785329446451
5651688.529165471,-110.3991328579314
5665643.315657238,-371.2413332677926
5679598.102149004,-73.05021033560388
5693552.888640771,-67.02961042232398
5707507.675132537,-73.05021033560408
5721462.461624304,-363.0797664740225
5735417.24811607,-81.67728950046936
5749372.034607837,-75.65668958719206
5763326.821099604,-81.67728950046828
5777281.60759137,-353.1003189636033
5791236.394083137,-78.75181868265085
5805191.180574903,-72.73121876937158
5819145.96706667,-78.75181868265028
5833100.753558436,-366.484751720803
5847055.540050203,-75.58210807112165
5861010.32654197,-69.56150815784179
5874965.113033736,-75.58210807112158
5888919.899525503,-351.1309170040514
5902874.686017269,-77.45096205984814
5916829.472509036,-71.43036214656897
5930784.259000802,-77.45096205984812
5944739.045492569,-359.6095515239109
5958693.831984336,-78.56608498479014
5972648.618476102,-72.54548507151034
5986603.404967869,-78.56608498479021
6000558.191459635,-361.4369877423122
6014512.977951402,-77.70874690062985
6028467.764443168,-71.68814698734977
6042422.550934935,-77.70874690062983
6056377.337426702,-359.9319609404519
6070332.123918468,-87.34904862501315
6084286.910410235,-81.32844871173364
6098241.696902001,-87.34904862501298
6112196.483393768,-361.4740647453706
6126151.269885534,-76.11453737917017
6140106.056377301,-70.09393746589026
6154060.842869068,-76.11453737917024
6168015.629360834,-359.0663956146271
6181970.415852601,-77.23049784279718
6195925.202344367,-71.20989792951741
6209879.988836134,-77.23049784279712
6223834.7753279,-365.2162154322417
6237789.561819667,-84.09188859960425
6251744.348311434,-78.07128868632853
6265699.1348032,-84.0918885996016
6279653.921294967,-356.0739679255548
6293608.707786733,-80.49986082904312
6307563.4942785,-74.47926091576302
6321518.280770266,-80.49986082904299
6335473.067262033,-361.0596641710879
6349427.8537538,-88.60113607540183
6363382.640245566,-82.58053616212372
6377337.426737333,-88.60113607540183
6391292.213229099,-352.4923350010238
6405246.999720866,-83.49708546067617
6419201.786212632,-77.47648554739611
6433156.572704399,-83.49708546067615
6447111.359196166,-358.1200973848854
6461066.145687932,-80.68027112224142
6475020.932179699,-74.65967120896168
6488975.718671465,-80.68027112224161
6502930.505163232,-345.416734002298
6516885.291654998,-76.90177205537761
6530840.078146765,-70.88117214209818
6544794.864638532,-76.90177205537759
6558749.651130298,-356.3894182049172
6572704.437622065,-77.50415443662041
6586659.224113831,-71.48355452334086
6600614.010605598,-77.50415443662062
6614568.797097364,-351.4323263871822
6628523.583589131,-80.24049313353609
6642478.370080898,-74.21989322025622
6656433.156572664,-80.24049313353588
6670387.943064431,-374.0215598944899
6684342.729556197,-77.5104787584164
6698297.516047964,-71.48987884513789
6712252.30253973,-77.51047875841628
6726207.089031497,-359.0676504705507
6740161.875523264,-74.45376864074358
6754116.66201503,-68.43316872746387
6768071.448506797,-74.45376864074369
6782026.234998563,-370.0618523389301
6795981.02149033,-92.67598068529539
6809935.807982096,-86.65538077201708
6823890.594473863,-92.67598068529475
6837845.38096563,-360.4051582257562
6851800.167457396,-74.24476192677209
6865754.953949163,-68.22416201349284
6879709.740440929,-74.24476192677206
6893664.526932696,-362.023377435325
6907619.313424462,-73.8129414990312
6921574.099916229,-67.7923415857513
6935528.886407996,-73.8129414990309
6949483.672899762,-362.1778331911059
6963438.459391529,-74.28623321144894
6977393.245883295,-68.26563329816875
6991348.032375062,-74.28623321144906
7005302.818866828,-350.9147787623563
7019257.605358595,-87.55454993447324
7033212.391850362,-81.53395002120081
7047167.178342128,-87.55454993447243
7061121.964833895,-368.1344779733874
7075076.751325661,-70.83422788413182
7089031.537817428,-64.81362797085181
7102986.324309194,-70.83422788413198
7116941.110800961,-355.0159086549185
7130895.897292728,-80.76657360476392
7144850.683784494,-80.76657360480111
